gene_id,Con_PTH_1,Con_PTH_2,Con_PTH_3,Con_PTH_4,Con_Veh_1,Con_Veh_2,Con_Veh_3,Con_Veh_4
ENSMUSG00000104742|Igkv9-128,0,0,0,0,0,0,0,0
ENSMUSG00000026272|Agxt,6,4,0,0,0,2,0,0
ENSMUSG00000024728|1700025F22Rik,0,0,0,0,0,0,0,0
ENSMUSG00000063887|Nlgn1,131,88,101,77,128,137,72,125
MSTRG.11717|Synpo2,3070,2164,2336,2583,427,474,469,403
ENSMUSG00000094516|Gm24568,0,0,0,0,0,0,0,0
ENSMUSG00000098848|Gm27893,0,0,0,0,0,0,0,0
MSTRG.5851|Gm10110,512,385,422,476,432,447,461,511
ENSMUSG00000107842|Gm44089,0,0,0,0,0,0,0,0
ENSMUSG00000083701|Gm4912,1,0,2,0,0,3,0,0
MSTRG.2174|Alx1,1408,713,930,1138,1290,1441,1276,1416
ENSMUSG00000065484|Mir130a,0,0,0,0,0,0,0,0
ENSMUSG00000108059|Gm44369,0,0,0,0,0,0,0,0
MSTRG.820|Gm6170,114,78,114,108,100,105,145,87
MSTRG.617|Gm37017,0,0,0,0,0,0,0,0
MSTRG.18268|Heatr3,2277,1079,1285,1606,1720,1878,2079,1938
ENSMUSG00000080193|Gm14756,1,2,2,2,0,0,2,2
